Part No	Description	Bin Location 1	Stock	Last Receipt	Av Cost
1636264180	E:BRAKE CLEAN	LUBRICANT	6	11-11-22 11:31	52.69
1636461780	BRAKES CLEANER	LUBRICANT	12	31-01-25 9:29	77.13
1637756080	ANTIFREEZE	LUBRICANT	61	19-08-24 16:17	166.19
1637756380	COOLING LIQUID	LUBRICANT	46	14-04-25 16:11	345.64
1638026280	E:EL AIR FILT	E3	1	09-05-25 10:29	157.1
1642333980	FLAT BLADE	hang	3	11-11-24 15:33	414.8
1642335180	FLAT BLADE	hang	1	01-07-24 8:24	0.01
1642340880	FLAT BLADE	hang	1	19-02-24 16:32	443.23
1647868480	FRONT DISKS KIT	G5	1	27-08-24 8:26	2393.27
1647874380	4 BRAKE PADS/R	g6	1	05-08-24 14:34	2055.24
1648406880	E.PLUG ERP	E1	2	04-12-23 9:08	176.09
1648406980	E:PLUG ERP 60	E1	12	01-07-24 8:24	0.01
1648407180	E:PLUG ERP 60	E1	10	27-05-25 14:05	133.48
1654509380	SPARK-PLUG	E1	22	30-06-25 14:33	299.11
1654515580	BELT KIT	G5	1	02-06-23 8:35	878.66
1654515680	COMPLETE KIT	g6	1	27-03-25 9:07	4911.14
1654517280	SPARK-PLUG	E1	3	19-06-25 16:17	406.72
16546AA020	ELEMENT-AIR CLNR	g7	1	21-02-25 9:01	282.8
16546AA120	ELEMENT-AIR CLNR	g7	3	05-05-25 10:42	295.75
16546AA150	ELEMENT-AIR CLNR	g7	3	23-05-25 9:05	261.81
1667442580	E:OIL FILTER	E4	3	10-02-25 15:10	159
1667800780	INTAKE FILTER	E3	17	27-05-25 14:51	270.58
1667817080	E:4 FR BR PAD	g6	1	08-02-24 14:01	897.67
1668203280	AIR FILTER	E3	4	30-06-25 14:35	360.64
1668205580	DRIVE BELT	hang	1	29-04-25 7:44	217.5
1668207380	SEAL	g6	5	14-04-25 16:11	8.82
1669671080	WINDSCREEN GLAS	Container	1	08-05-25 9:03	9237.06
1671902880	BRAKE SHOE	g6	2	26-06-25 8:38	517.35
16719697ZD	STEER WHEEL PAD	WORKSHOP	4	30-05-25 12:47	10506.73
16719698ZD	STEER WHEEL PAD	G5	1	20-03-25 14:25	10425.16
1671969980	PASSENG AIRBAG	G5	2	20-03-25 14:25	6793.93
1673603880	4 BRAKE PADS/R	g6	1	13-09-24 12:36	1791.16
1675993680	E:4 FR BR PADS	E5	2	01-07-24 8:24	0.01
1678168180	4 BRAKE PADS/F	g6	1	01-07-24 8:24	0.01
1678169480	ACCESSORY KIT	G5	1	01-07-24 8:24	0.01
1679816980	OIL FILTER	E4	7	25-06-25 14:59	645.28
1679993980	4 BRAKE PADS/F	g6	1	14-10-24 14:28	1509.42
1680791780	4 BRAKE PADS/F	g6	1	01-07-24 13:00	3337.19
1681348080	DRN PLUG GASKET	g6	9	19-06-25 16:18	19.58
1681350380	FILTERING PAD	E4	3	13-06-25 12:47	887.48
1682775680	FLAT BLADE	hang	1	19-02-24 16:36	252.38
1682801680	DRN PLUG GASKET	g6	33	14-10-24 14:28	115.9
1682802280	END-SCREW GASKT	g6	1	23-10-23 13:45	83.51
1682953480	E:OIL FILTER	E4	1	06-09-24 13:32	51.82
1682953580	E:OIL FILTER	E4	1	25-04-25 14:02	115.89
1686726580	E:2 FR BR DISC	G5	1	06-09-24 13:29	1037
1688651680	BRAKE DRUM	E9	4	26-06-25 8:38	4179.16
1689816480	FLAT BLADE	hang	3	26-10-23 15:24	200.09
1690956280	E:DIESEL FILTER	E4	13	02-05-25 14:51	354.36
1691653180	FOAM FILTER	G5	1	13-05-25 11:37	260.68
1692660480	WATER PUMP BELT	g6	2	21-01-25 15:10	115.44
1693482880	E:SPARK PLUG	E1	4	13-05-25 11:37	200.47
1693482980	E:SPARK PLUG	E1	4	04-04-25 8:54	258.14
190183	D/FILTER SEAL	E4	8	01-07-24 8:24	0.01
190195	D/FILTER SEAL	G5	1	08-08-23 14:04	0.01
190199	D/FILTER SEAL	E4	1	08-08-23 14:04	0.01
1906C0	FILTERING PAD	E4	9	01-09-21 12:18	379.11
1.91E+09	FILTERING PAD	E4	14	21-05-25 14:30	636.61
19315209	FILTER- OIL TERRAIN-17/MULTI {FA-SC}	E4	4	27-05-25 14:05	88.15
19348771	ELEMENT- OIL FLTR TB-13-19	E4	4	27-05-25 14:05	101.52
1BP00330AA	BRAKE    PAD-SET REAR DISC BRAKE	E7	1	24-04-25 14:27	3731.53
1K0807184	PEICE	JASON	1	24-06-25 14:17	367.5
2000034400	REPAIR SHOP'S FIXT	WORKSHOP	1	02-05-25 14:59	1009.71
2010005BSV0000	AIR FILTER ELEMENT	G1	2	17-01-25 8:46	253.52
20204AG011	RUB BUSH ARM F R	g7	2	25-04-25 14:59	333.47
20204AG030	RUB BUSH ARM F F	g7	2	23-05-25 9:05	218.35
20204XA00B9E	RUB BUSH ARM F R	g7	2	08-08-23 14:04	0.01
20206AJ000	BALL JOINT COMPL	g7	4	25-04-25 14:59	380.5
203708	FLYWHEEL SCREW	G5	24	11-04-24 9:04	29.72
20414SG001	RUB BUSH STAB	g7	2	23-05-25 9:05	65.84
20420XA000	STABILIZER LK F	g7	2	12-06-25 8:59	537.5
20914318	FRAME-WSW TRANS(LINKAGE ASSY.)	E5	1	07-07-22 9:50	0.01
22401AA700	PLUG-SPARK	g7	10	08-08-23 14:04	0.01
22401AA751	PLUG-SPARK	g7	2	08-08-23 14:04	0.01
22401AA781	PLUG-SPARK	g7	8	21-11-24 14:34	424.85
22401AA801	PLUG-SPARK	g7	10	08-08-23 14:04	0.01
22401AA880	PLUG-SPARK	g7	8	13-03-25 13:42	424.85
22753219	FILTER-PASS COMPT AIR -C140 -11	E3	1	19-12-24 15:14	653.38
2327	Leichtlauf High Tech 5W40 Synthetic Oil	LUBRICANT	1	09-12-24 14:51	96.21
2328	HIGH TECH 5W 40 OIL 5L	LUBRICANT	12	11-06-25 14:00	505.06
24000053	GAC Motorcool Guard	LUBRICANT	20	08-04-25 8:57	67.26
24000054	GAC Motor Stop Guard	LUBRICANT	20	08-04-25 8:57	76.46
242229699	SPARK PLUG	E1	1	01-07-24 8:24	0.01
24271971	PLATE-3-5 REV CLU APPLY	E5	3	07-07-22 9:50	0.01
24301443	CLUTCH PLATE	E5	2	07-07-22 9:50	0.01
24436052	PULLEY ASM-TMG BELT IDLER CRUZE-17/MULTI	E5	1	13-11-24 14:53	445.89
24438034	RETAINER	E5	1	07-07-22 9:50	0.01
24445245	CLAMP-RAD SURGE TK INL CRUZE-18/MULTI	E5	4	08-08-23 14:04	0.01
25182776	BELT	E5	1	01-07-24 8:24	0.01
25189435	CABLE ASM-M/TRNS SHFT LVR	E5	1	07-07-22 9:50	0.01
25190809	SEAL IGN COIL	E5	2	01-07-24 8:24	0.01
25192537	HOUSING-SHFT CONT (W/SHF CONT SHF)	E5	1	07-07-22 9:50	0.01
25193550	PLUG- ASSY.- SPARK	E1	2	14-02-25 15:42	242.34
25195605	BEARING	E5	4	07-07-22 9:50	0.01
25195785	FILTER OIL AVEO16-18T  ALT PSA1682953580	E4	8	29-04-25 14:51	147.32
25201065	SENSOR-KNOCK CRUZE-17/MULTI	E5	1	08-08-23 14:04	0.01
2560	TOURING HIGH TECH 1L	LUBRICANT	6	08-08-23 14:04	0.01
26296FJ020	PAD KIT F	g7	1	09-01-25 13:12	2770.07
26296FL032	PAD KIT F	g7	1	12-06-25 8:59	1438.68
26296SC011	PAD KIT	g7	1	25-04-25 14:59	2540.8
26296SG000	PAD KIT F	g7	1	29-08-24 10:33	1944.6
26298FL001	SHIM KIT F	g7	1	12-02-25 16:44	447.34
26696AG031	PAD KIT-R	g7	1	13-11-24 14:51	1192.08
26696AL020	PAD KIT R	g7	1	13-03-25 13:42	1191.64
26696FJ000	PAD KIT R	g7	1	25-04-25 14:59	985.19
28171AJ001	WHEEL NUT	g7	3	23-10-24 15:57	36.79
28365FE001	HUB BOLT	g7	8	29-04-25 7:40	31
28411SC011	HOUSING ASSY R   LH	WORKSHOP	1	18-09-24 8:14	2607.91
30100AA970	DISK COMPL-CLUTCH	E9	1	25-04-25 14:52	3748.13
30210AA720	COVER CP-CLUTCH	E9	1	25-04-25 14:52	3823.71
302120	GAC Motor Oil 210 litre	LUBRICANT	196.5	17-01-25 8:18	98.72
302133	GAC Premium oil 5 Litre	LUBRICANT	4	17-01-25 8:27	577.65
30502AA121	BRG-CLUTCH REL	g7	1	25-04-25 14:52	417.56
30502AA141	BRG-CLUTCH REL	g7	1	17-09-24 12:26	453.43
