Part No,Description,Bin Location 1,Stock,Last Receipt,Av Cost
1610699280,4 BRAKE PADS/F,g6,1,01-07-2024 08:24:19,0.01
1610704680,FRONT DISKS KIT,G5,1,01-07-2024 08:24:19,0.01
1610725580,BRAKE FLUID,LUBRICANT,81,17-12-2024 11:59:52,94.35
1611187480,COVER-ENG BLK,g6,1,17-04-2025 14:12:37,1069.27
1611718680,INJECTOR KIT,g6,5,08-08-2023 14:04:06,0.01
1611846480,GAUGE WITH PUMP,g6,1,10-10-2023 15:53:21,3243.66
1611909180,WASHER LIQUID,LUBRICANT,81,11-01-2024 14:28:46,44.37
1612163180,E:V BELT,G5,1,08-08-2023 14:04:06,0.01
1612435380,BRAKE DISC,G5,2,08-08-2023 14:04:06,0.01
1612866580,E:AIR FLT ELT,E2,1,06-05-2025 14:33:29,137.31
1612889480,E:EL AIR FILTER,E3,2,29-11-2023 14:02:22,135.77
1612920180,E:POL FILTER,E3,1,13-11-2024 15:06:01,130.77
1613215680,FLAT BLADE,hang,3,11-11-2024 15:34:32,384.14
1613590280,HOG RING,WORKSHOP,5,05-09-2024 11:22:20,158.26
1615099980,OIL,LUBRICANT,43,01-04-2025 09:31:46,74.78
1615646880,CHARCOAL FILTER,E2,7,08-05-2024 13:56:21,478.52
1616399880,OIL FILTER,E4,8,06-03-2025 10:50:43,151.33
1616854180,DRN PLUG GASKET,E4,4,01-11-2024 08:32:31,147.64
1617039680,FLAT BLADE,hang,2,26-10-2023 15:30:14,263.18
1618048280,RR VIEW MIRROR,WORKSHOP,1,02-06-2023 12:49:36,744.46
1618048380,MIRROR CAPPING,unknown,1,04-02-2025 08:57:15,837.26
1618048480,MIRROR CAPPING,WORKSHOP,1,02-05-2023 14:05:04,711.35
1621267280,ACCESSORY KIT,g6,1,23-09-2024 14:29:50,1045.56
1622749580,RIVET,g6,28,07-07-2022 09:50:44,0.01
1622750380,HOG RING,g6,35,08-08-2023 14:04:06,0.01
1623096280,E: COOLANT PUMP,,2,04-03-2025 10:35:38,887
1623335480,E:RR SH ABS PSA,g6,2,01-07-2024 08:24:19,0.01
1625938680,E:SPARK PLUG,E1,8,06-09-2024 13:33:09,43.16
1630633180,BRAKE DISC,G5,2,01-07-2024 08:24:19,0.01
1631806280,BUMPR DEFLECTOR,(Blanks),1,08-05-2025 09:03:40,4924.13
1631831780,4 BRAKE PADS/R,g6,1,13-11-2024 15:06:01,1174.88
1632745480,SPARK-PLUG,E1,10,22-10-2024 13:43:00,67.57
1635157180,WIPER BLADE,g6,2,17-01-2023 09:03:33,177.95
1635454280,E:FLT WPR BLDS,hang,4,05-12-2023 08:02:23,135.41
1635771880,E:SUSP BALL JT (W),g6,1,07-07-2022 09:50:44,0.01
1636264180,E:BRAKE CLEAN,LUBRICANT,7,11-11-2022 11:31:57,52.69
1636461780,BRAKES CLEANER,LUBRICANT,12,31-01-2025 09:29:14,77.13
1637756080,ANTIFREEZE,LUBRICANT,46,19-08-2024 16:17:10,166.19
1637756380,COOLING LIQUID,LUBRICANT,19,14-04-2025 16:11:24,357.55
1638026280,E:EL AIR FILT,E3,2,09-05-2025 10:29:24,157.1
1638028080,E:EL AIR FILTER,E3,3,29-11-2023 14:02:22,166.49
1642333980,FLAT BLADE,hang,3,11-11-2024 15:33:46,414.8
1642335180,FLAT BLADE,hang,1,01-07-2024 08:24:19,0.01
1642340880,FLAT BLADE,hang,1,19-02-2024 16:32:52,443.23
1647868480,FRONT DISKS KIT,G5,1,27-08-2024 08:26:26,2393.27
1647874380,4 BRAKE PADS/R,g6,1,04-12-2024 11:35:05,2055.24
1647874380,4 BRAKE PADS/R,g6,1,05-08-2024 14:34:46,2055.24
1648406880,E.PLUG ERP,E1,5,04-12-2023 09:08:35,176.09
1648406980,E:PLUG ERP 60,E1,12,01-07-2024 08:24:19,0.01
1648407180,E:PLUG ERP 60,E1,2,02-05-2025 14:51:17,190.93
1654507180,SET OF SEALS,(Blanks),1,27-03-2025 09:30:48,476.57
1654509380,SPARK-PLUG,E1,21,02-05-2025 14:51:17,299.06
1654513680,PUMP SOL VLV SL,g6,1,02-10-2023 16:07:05,17.59
1654514680,TIMING BELT,hang,1,03-10-2024 14:50:14,851.84
1654515580,BELT KIT,G5,2,02-06-2023 08:35:22,878.66
1654515680,COMPLETE KIT,g6,1,27-03-2025 09:07:35,4911.14
1654516080,MOTOR KIT,g6,1,03-10-2024 14:51:43,2209.27
1654517280,SPARK-PLUG,E1,13,02-05-2025 14:51:17,403.49
16546AA020,ELEMENT-AIR CLNR,g7,1,21-02-2025 09:01:19,282.8
16546AA090,ELEMENT-AIR CLNR,g7,2,30-03-2023 13:48:41,315.81
16546AA120,ELEMENT-AIR CLNR,g7,5,05-05-2025 10:42:27,295.75
16546AA150,ELEMENT-AIR CLNR,g7,3,13-03-2025 13:42:34,262.23
1667442580,E:OIL FILTER,E4,6,10-02-2025 15:10:08,159
1667800780,INTAKE FILTER,E3,5,02-04-2025 16:22:53,270.58
1667817080,E:4 FR BR PAD,g6,1,08-02-2024 14:01:43,897.67
1668203280,AIR FILTER,E3,4,18-03-2025 08:59:01,379.66
1668205580,DRIVE BELT,hang,1,29-04-2025 07:44:29,217.5
1668207380,SEAL,g6,2,14-04-2025 16:11:24,8.82
1669671080,WINDSCREEN GLAS,BIDLEE,1,08-05-2025 09:03:44,9237.06
1671708080,TURBO GASKET,g6,5,27-07-2023 14:14:12,663.5
1671902880,BRAKE SHOE,,2,06-05-2025 14:33:29,517.35
16719697ZD,STEER WHEEL PAD,WORKSHOP,3,10-01-2025 13:24:34,10351.46
16719698ZD,STEER WHEEL PAD,G5,1,20-03-2025 14:25:07,10425.16
1671969980,PASSENG AIRBAG,E1,2,20-03-2025 14:25:07,6793.93
1673603880,4 BRAKE PADS/R,g6,1,13-09-2024 12:36:28,1791.16
1675941180,TIMING TENSIONR,(Blanks),1,07-05-2025 15:57:20,1445.13
1675993680,E:4 FR BR PADS,E5,2,01-07-2024 08:24:19,0.01
1677735080,DRAIN PLUG,E6,2,13-02-2025 12:40:45,1860.7
1677735280,SEAL,unknown,2,25-03-2025 08:47:30,1580.92
1678168180,4 BRAKE PADS/F,g6,1,01-07-2024 08:24:19,0.01
1678169480,ACCESSORY KIT,G5,1,01-07-2024 08:24:19,0.01
1679816980,OIL FILTER,E4,4,02-05-2025 14:51:17,645.28
1679993980,4 BRAKE PADS/F,g6,1,14-10-2024 14:28:17,1509.42
1680791780,4 BRAKE PADS/F,g6,1,01-07-2024 13:00:08,3337.19
1681348080,DRN PLUG GASKET,g6,8,02-05-2025 14:54:02,19.58
1682775680,FLAT BLADE,hang,1,19-02-2024 16:36:15,252.38
1682801680,DRN PLUG GASKET,g6,31,14-10-2024 14:28:17,115.9
1682802280,END-SCREW GASKT,g6,2,23-10-2023 13:45:23,83.51
1682953480,E:OIL FILTER,E4,1,06-09-2024 13:32:28,51.82
1682953580,E:OIL FILTER,E4,1,25-04-2025 14:02:23,115.89
1684443880,HANDBRAKE CABLE,WORKSHOP,1,06-05-2025 14:17:25,481.79
1686726580,E:2 FR BR DISC,G5,1,06-09-2024 13:29:15,1037
1688651680,BRAKE DRUM,,4,06-05-2025 14:33:29,4179.16
1689816480,FLAT BLADE,hang,3,26-10-2023 15:24:43,200.09
1690956280,E: DIESEL FILTER,,7,02-05-2025 14:51:17,354.36
1691653180,FOAM FILTER,G5,1,13-05-2025 11:37:54,260.68
1692660480,WATER PUMP BELT,g6,1,21-01-2025 15:10:11,115.44
1693482880,E:SPARK PLUG,E1,4,13-05-2025 11:37:54,200.47
1693482980,E:SPARK PLUG,E1,4,04-04-2025 08:54:05,258.14
179964,OIL FILTER,G2,1,28-07-2023 11:36:06,209.25
18MD,SILICONE SPRAY,LUBRICANT,8,06-05-2025 07:52:52,71.16
190183,D/FILTER SEAL,E4,8,01-07-2024 08:24:19,0.01
190195,D/FILTER SEAL,G5,1,08-08-2023 14:04:06,0.01
190199,D/FILTER SEAL,E4,1,08-08-2023 14:04:06,0.01
1906C0,FILTERING PAD,E4,9,01-09-2021 12:18:14,379.11
1906E6,FILTERING PAD,E4,10,22-04-2025 14:34:33,625.44
1920KX,SENSOR,G5,1,21-02-2025 12:31:57,651.52
19315209,FILTER- OIL TERRAIN-17/MULTI {FA-SC},E4,4,02-05-2025 14:51:17,105.92
19348771,ELEMENT- OIL FLTR TB-13-19,E4,4,02-05-2025 14:51:17,122.04
19348772,ELEMENT ASM-A CL TB,E2,4,14-10-2024 14:28:17,416.33
19348774,FILTER- FUEL TB-13-19T,E4,4,02-05-2025 14:51:17,434.23
